,var_name,var_label,timepoint,subject,n_observed,data_source,gr_section,gr_qnumber,reporter,var_comp,questionnaire,questionnaire_ref,constructs,var_type,orig_file,n_total,n_missing,descriptives
0,IDM,Id Pregnancy Mother, ,child,9901, , , , ,mother, , , ,numeric,20070423_expressed emotions Focus 30 weken; 20210302_beroep partner_SBC92; BRIEF - 48 months_22112016; CHILDCBCL_6_incl_Tscores_20201111; CHILDDISC_IV_YC_23062020; CHILDTRF_incl_Tscores_20201111; FISHEPICCLASSIFICATION_22112016; GEDRAGSGROEP_MaternalDrinking_22112016; GR1001-B4-9_22112016; GR1001-C2-13_22112016; GR1001-D1-37_16072021; GR1001-E2-3_22112016; GR1001-F1-10_22112016; GR1001-F11-12_22112016; GR1001-G1-7_22112016; GR1001-H_22112016; GR1001-I3-16_22112016; GR1001-J_22112016; GR1001_D32-2_chronicdisease_15092021; GR1003-A1-7_02092013; GR1003-A8-11_02092013; GR1003-B_02092013; GR1003-C_08042016; GR1003-D2-20_01072012; GR1003-E_01072012; GR1003-F_01072012; GR1003-G_01072012; GR1003-H_14082012; GR1003-I_16042021; GR1003-K_01072012; GR1004-A10-14_02092013; GR1004-A15-20_02092013; GR1004-A1tm9-27_08042016; GR1004-A21-25_02092013; GR1004-B_01072012; GR1004-C3-13_01072012; GR1004-D_01072012; GR1004-E_01072012; GR1004-F_01072012; GR1004-G_01072012; GR1004-H_01072012; GR1004-I_01072012; GR1005-A_22112016; GR1005-B1-7_22112016; GR1005-B8-11_22112016; GR1005-C_22112016; GR1005-D_22112016; GR1005-E_22112016; GR1005-E2-3_25042019; GR1005-F_22112016; GR1005-F1_22062016; GR1005-F2_28062015; GR1005-G_22112016; GR1019-A1_22112016; GR1076-A2_14122015; GR1076-E345_28032012; GR1081-GR1083_D1_BSI_19042017; MATERNALCAFFEINEINTAKE_22112016; MATERNALCOMPLICATIONS_22112016; MATERNALFOLICACID_23062010; MATERNALPE_12122019; MEDICATIONPREGNANCY_BENZIODIAZEPINES_30112017; MEDICATIONSELFREPORTPREGNANCY_30112017; MOTHERDietScore_pregnancy_18052018; PRESCHOOLWHEEZINGPATTERNS_22112016,9901,0,"{'Min.': 1, '1st Qu.': 2617, 'Median': 5229, 'Mean': 5225, '3rd Qu.': 7857}"
1,SEXE,geslacht,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'man': 0, 'vrouw': 910}"
2,UITSPR_1,eerste uitspraak,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'neutraal': 247, 'positief': 636, 'negatief': 27}"
3,RELATIE,relatie,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'neutraal': 231, 'positief': 679, 'negatief': 0}"
4,KRITIEK,aantal kritische uitspraken,30 w,mother,910,home-interview, , ,mother,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,322,"{'Min.': 0, '1st Qu.': 0, 'Median': 0, 'Mean': 0.03, '3rd Qu.': 0, 'Max.': 1}"
5,DISSAT,dissatisfactie,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'afwezig': 721, 'aanwezig': 189}"
6,HUILEN,huilen,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'afwezig': 906, 'aanwezig': 4}"
7,SELF_CEN,aantal self-centered uitspraken,30 w,mother,910,home-interview, , ,mother,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,322,"{'Min.': 0, '1st Qu.': 0, 'Median': 0, 'Mean': 0.22, '3rd Qu.': 0, 'Max.': 4}"
8,STAT_ATT,aantal statements of attitude,30 w,mother,910,home-interview, , ,mother,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,322,"{'Min.': 0, '1st Qu.': 0, 'Median': 0, 'Mean': 0.04, '3rd Qu.': 0, 'Max.': 2}"
9,OPOFFER,zelf-opofferend of overbeschermend,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'afwezig': 901, 'aanwezig': 9}"
